;NumFeatures;HasExternalRiskEstimate;SpecialValues
8357;5;0;0
5207;1;0;0
647;5;0;0
4375;4;0;0
3969;3;0;0
5228;2;0;0
2160;3;0;0
2943;3;0;0
8097;4;0;0
7754;1;0;0
692;4;0;0
7299;2;0;0
8284;3;0;0
3570;2;0;0
605;3;0;0
9744;3;0;0
5266;4;0;0
9522;2;0;0
1920;2;0;0
2529;4;0;0
3724;3;0;0
81;4;0;0
9089;3;0;0
8332;4;0;0
8140;4;0;0
10055;4;0;0
5966;3;0;0
615;5;0;0
8535;4;0;1
4402;2;0;0
3827;3;0;0
5412;3;0;0
729;4;0;0
2132;2;0;0
2674;4;0;0
5899;2;0;0
2045;3;0;0
9839;2;0;0
4577;4;0;0
2320;4;0;0
8391;3;0;0
9068;5;0;0
2184;2;0;0
8348;4;0;0
940;2;0;0
4282;3;0;0
7702;4;0;0
2826;4;0;0
2577;1;0;0
7646;3;0;0
6439;5;0;0
2214;3;0;0
9367;2;0;0
6058;3;0;0
6324;5;0;0
5684;3;0;1
5980;4;0;0
617;2;0;0
8267;4;0;0
2194;3;0;0
8584;4;0;0
9651;2;0;0
4965;3;0;0
6117;3;0;0
2665;2;0;0
4431;3;0;0
4793;4;0;0
10316;4;0;0
10;3;0;0
10192;4;0;0
7979;3;0;0
6205;3;0;0
8259;3;0;0
99;2;0;0
1737;4;0;0
2894;3;0;0
7373;4;0;0
2534;3;0;1
6926;4;0;0
8324;3;0;0
9077;3;0;0
10019;3;0;0
5452;4;0;0
315;4;0;0
8197;3;0;0
2518;3;0;0
4789;4;0;0
8057;5;0;0
5919;4;0;0
7187;3;0;0
2565;5;0;1
7835;3;0;0
3309;3;0;0
1497;1;0;0
10414;3;0;0
1594;4;0;0
9404;4;0;0
9617;3;0;0
2334;5;0;0
9042;4;0;0
8268;5;0;0
4682;2;0;0
1530;4;0;0
2299;4;0;0
4866;3;0;0
7912;4;0;0
